tick,agent-type,activity,bite-stat,patch-landuse
0,adult,2,false,61
0,adult,1,false,62
0,senior,4,false,20
0,child,4,false,20
0,adult,4,false,20
0,senior,3,false,60
0,adult,4,false,20
0,senior,4,false,20
0,senior,2,false,61
0,adult,4,false,20
0,senior,3,false,62
0,adult,4,false,20
0,adult,4,false,20
0,senior,4,false,20
0,adult,2,false,62
0,adult,1,false,60
0,adult,2,false,62
0,adult,1,false,62
0,senior,2,false,60
0,adult,1,false,62
0,senior,2,false,60
0,child,1,false,62
0,senior,3,false,62
0,adult,3,false,60
0,senior,4,false,20
0,adult,2,false,61
0,adult,1,false,60
0,senior,3,false,62
0,adult,4,false,20
0,adult,2,false,60
0,senior,4,false,20
0,adult,2,false,60
0,adult,2,false,62
0,senior,2,false,62
0,child,2,false,60
0,adult,1,false,60
0,adult,3,false,62
0,adult,2,false,62
0,adult,3,false,62
0,adult,3,false,60
0,senior,1,false,62
0,adult,2,false,61
0,adult,3,false,62
0,adult,3,false,60
0,adult,2,false,60
0,adult,2,false,62
0,adult,3,false,62
0,child,3,false,60
0,child,2,false,60
0,child,1,false,60
0,adult,2,false,60
0,adult,4,false,20
0,child,4,false,20
0,adult,1,false,62
0,adult,4,false,20
0,adult,1,false,60
0,adult,3,false,60
0,adult,1,false,60
0,child,4,false,20
0,adult,2,false,62
0,adult,3,false,60
0,adult,4,false,20
0,adult,2,false,61
0,adult,4,false,20
0,senior,1,false,62
0,adult,3,false,60
0,adult,3,false,62
0,child,1,false,60
0,adult,3,false,62
0,adult,2,false,61
0,adult,2,false,62
0,adult,2,false,61
0,adult,4,false,20
0,child,1,false,62
0,adult,3,false,62
0,senior,4,false,20
0,senior,4,false,20
0,adult,2,false,62
0,adult,3,false,62
0,adult,4,false,20
0,senior,4,false,20
0,senior,1,false,60
0,adult,1,false,62
0,adult,1,false,62
0,adult,3,false,62
0,adult,3,false,60
0,senior,3,false,62
0,adult,3,false,60
0,adult,3,false,62
0,adult,3,false,60
1,senior,4,false,20
1,adult,4,false,20
1,adult,4,false,20
1,child,4,false,20
1,adult,4,false,20
1,adult,4,false,20
1,adult,4,false,20
1,child,4,false,20
1,adult,4,false,20
1,adult,4,false,20
1,adult,4,false,20
1,senior,4,false,20
1,adult,4,false,20
1,adult,4,false,20
1,child,4,false,20
1,adult,4,false,20
1,child,4,false,20
1,adult,4,false,20
1,senior,4,false,20
1,adult,4,false,20
1,senior,4,false,20
1,senior,4,false,20
1,adult,4,false,20
1,adult,4,false,20
1,adult,4,false,20
1,adult,4,false,20
1,adult,4,false,20
1,adult,4,false,20
1,adult,4,false,20
1,child,4,false,20
1,adult,4,false,20
1,senior,4,false,20
1,adult,4,false,20
1,child,4,false,20
1,adult,4,false,20
1,adult,4,false,20
1,adult,4,false,20
1,adult,4,false,20
1,adult,4,false,20
1,senior,4,false,20
