tick,bite-count
0,0
1,21
2,31
3,48
4,48
5,48
6,48
7,48
8,48
9,48
10,48
11,48
12,48
13,48
14,48
15,48
16,48
17,48
18,48
19,48
20,48
21,63
22,63
23,80
24,80
25,92
26,92
27,92
28,92
29,105
30,105
31,105
32,105
33,112
34,124
35,133
36,138
37,138
38,138
39,148
40,151
41,162
42,162
43,162
44,168
45,174
46,181
47,187
48,195
49,204
50,211
51,220
52,227
53,227
54,227
55,227
56,227
57,227
58,227
59,232
60,240
61,245
62,253
63,270
64,270
65,270
66,270
67,270
68,276
69,284
70,290
71,294
72,305
73,316
74,319
75,325
76,338
77,346
78,351
79,360
80,364
81,371
82,371
83,371
84,371
85,376
86,380
87,390
88,396
89,400
90,410
91,419
92,423
93,428
94,434
95,437
96,442
97,449
98,460
99,467
100,473
101,477
102,485
103,492
104,501
105,514
106,517
107,517
108,517
109,525
110,525
111,525
112,525
113,525
114,525
115,525
116,532
117,542
118,549
119,560
120,568
121,574
122,581
123,587
124,591
125,601
126,616
127,625
128,630
129,635
130,642
131,648
132,663
133,676
134,682
135,688
136,689
137,697
138,701
139,707
140,720
141,722
142,728
143,739
144,746
145,755
146,765
147,772
148,778
149,783
150,792
151,797
152,806
153,810
154,819
155,826
156,834
157,839
158,846
159,858
160,870
161,883
162,888
163,893
164,899
165,905
166,914
167,927
168,940
169,949
170,952
171,959
172,964
173,968
174,978
175,987
176,989
177,997
178,1001
179,1010
180,1013
181,1030
182,1042
183,1045
184,1056
185,1064
186,1071
187,1080
188,1086
189,1092
190,1100
191,1109
192,1115
193,1124
194,1130
195,1144
196,1154
197,1162
198,1170
199,1183
200,1194
201,1206
202,1216
203,1226
204,1238
205,1247
206,1254
207,1269
208,1285
209,1293
210,1304
211,1316
212,1325
213,1339
214,1349
215,1360
216,1376
217,1388
218,1399
219,1407
220,1418
221,1422
222,1425
223,1435
224,1446
225,1448
226,1450
227,1455
228,1463
229,1465
230,1474
231,1484
232,1488
233,1492
234,1497
235,1503
236,1508
237,1516
238,1522
239,1526
240,1532
241,1538
242,1545
243,1552
244,1563
245,1575
246,1581
247,1585
248,1590
249,1598
250,1609
251,1619
252,1629
253,1637
254,1642
255,1645
256,1651
257,1654
258,1666
259,1673
260,1679
261,1684
262,1694
263,1698
264,1708
265,1720
266,1727
267,1732
268,1737
269,1747
270,1754
271,1761
272,1772
273,1789
274,1798
275,1804
276,1807
277,1811
278,1819
279,1828
280,1838
281,1845
282,1853
283,1857
284,1867
285,1877
286,1887
287,1893
288,1900
289,1905
290,1907
291,1911
292,1919
293,1928
294,1937
295,1945
296,1951
297,1955
298,1961
299,1969
300,1980
301,1990
302,1998
303,2010
304,2012
305,2022
306,2026
307,2026
308,2026
309,2026
310,2026
311,2026
312,2026
313,2026
314,2034
315,2043
316,2054
317,2054
318,2057
319,2063
320,2066
321,2079
322,2079
323,2079
324,2079
325,2079
326,2079
327,2079
328,2088
329,2096
330,2103
331,2110
332,2116
333,2116
334,2116
335,2116
336,2123
337,2123
338,2123
339,2123
340,2128
341,2128
342,2128
343,2128
344,2128
345,2128
346,2128
347,2128
348,2128
349,2128
350,2137
351,2143
352,2150
353,2155
354,2155
355,2162
356,2162
357,2162
358,2162
359,2167
360,2167
361,2167
362,2167
363,2167
364,2167
365,2167
