tick,new-children-bites,new-adults-bites,new-seniors-bites
0,0,0,0
1,0,0,0
2,1,0,1
3,0,1,2
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,1,2
22,0,0,0
23,1,2,2
24,0,0,0
25,0,3,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,3,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,2,0
34,0,1,1
35,0,2,1
36,1,2,0
37,0,0,0
38,0,0,0
39,0,0,1
40,0,1,0
41,0,2,0
42,0,0,0
43,0,0,0
44,0,2,0
45,1,3,0
46,0,1,0
47,0,1,1
48,0,0,0
49,0,1,1
50,0,2,1
51,1,1,0
52,0,2,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,1,0
60,1,1,0
61,1,0,0
62,0,4,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,1,0,0
69,0,0,1
70,1,1,0
71,0,1,0
72,0,1,0
73,0,1,0
74,0,3,1
75,0,0,0
76,0,1,0
77,0,1,0
78,0,1,0
79,0,3,1
80,0,0,0
81,0,0,1
82,0,0,0
83,0,0,0
84,0,0,0
85,0,1,1
86,0,1,0
87,0,2,0
88,1,3,0
89,0,1,1
90,0,0,0
91,2,0,0
92,0,2,0
93,0,1,2
94,0,1,1
95,0,1,0
96,1,1,2
97,0,0,0
98,1,2,0
99,0,2,0
100,0,0,0
101,0,2,1
102,0,1,0
103,0,0,0
104,2,2,0
105,0,0,1
106,0,0,0
107,0,0,0
108,0,0,0
109,0,3,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,2,2
118,1,2,0
119,0,2,2
120,1,2,0
121,0,0,0
122,0,1,0
123,0,1,1
124,0,1,0
125,0,2,0
126,1,0,2
127,0,3,0
128,0,0,1
129,0,2,0
130,0,2,0
131,3,2,0
132,2,0,0
133,1,1,1
134,0,1,0
135,0,1,0
136,0,1,0
137,0,1,0
138,0,2,0
139,1,2,0
140,1,0,0
141,0,1,1
142,1,4,0
143,1,3,0
144,0,0,0
145,0,2,0
146,0,1,0
147,1,0,0
148,0,0,0
149,0,1,0
150,0,1,0
151,0,1,0
152,1,3,0
153,0,1,0
154,0,0,0
155,0,3,2
156,0,4,0
157,0,1,0
158,0,2,2
159,1,2,0
160,0,1,0
161,0,0,1
162,0,1,0
163,0,2,1
164,0,0,1
165,0,0,0
166,0,1,0
167,2,0,0
168,0,0,1
169,0,0,0
170,1,2,2
171,0,2,0
172,1,2,0
173,1,2,2
174,0,3,1
175,0,0,0
176,0,0,0
177,0,2,0
178,0,0,0
179,0,0,1
180,1,0,0
181,0,4,0
182,1,1,0
183,0,1,0
184,0,1,0
185,1,0,0
186,0,0,0
187,0,0,0
188,1,2,1
189,1,0,1
190,0,1,0
191,0,3,1
192,0,0,0
193,0,1,0
194,0,2,1
195,0,1,0
196,1,3,1
197,0,1,0
198,0,1,0
199,0,0,0
200,0,0,0
201,0,1,1
202,0,0,0
203,2,2,0
204,1,0,0
205,0,1,2
206,0,1,0
207,0,1,0
208,1,2,1
209,1,0,1
210,0,0,0
211,0,1,1
212,1,1,1
213,0,0,1
214,0,1,0
215,0,0,0
216,1,3,0
217,0,0,0
218,0,1,0
219,1,0,1
220,1,2,0
221,0,1,0
222,0,2,0
223,0,1,0
224,0,0,0
225,0,0,0
226,0,2,1
227,0,0,0
228,0,3,0
229,0,1,0
230,1,0,0
231,0,0,1
