tick,new-count
0,0
1,0
2,2
3,3
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,3
22,0
23,5
24,0
25,3
26,0
27,0
28,0
29,3
30,0
31,0
32,0
33,2
34,2
35,3
36,3
37,0
38,0
39,1
40,1
41,2
42,0
43,0
44,2
45,4
46,1
47,2
48,0
49,2
50,3
51,2
52,2
53,0
54,0
55,0
56,0
57,0
58,0
59,1
60,2
61,1
62,4
63,0
64,0
65,0
66,0
67,0
68,1
69,1
70,2
71,1
72,1
73,1
74,4
75,0
76,1
77,1
78,1
79,4
80,0
81,1
82,0
83,0
84,0
85,2
86,1
87,2
88,4
89,2
90,0
91,2
92,2
93,3
94,2
95,1
96,4
97,0
98,3
99,2
100,0
101,3
102,1
103,0
104,4
105,1
106,0
107,0
108,0
109,3
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,4
118,3
119,4
120,3
121,0
122,1
123,2
124,1
125,2
126,3
127,3
128,1
129,2
130,2
131,5
132,2
133,3
134,1
135,1
136,1
137,1
138,2
139,3
140,1
141,2
142,5
143,4
144,0
145,2
146,1
147,1
148,0
149,1
150,1
151,1
152,4
153,1
154,0
155,5
156,4
157,1
158,4
159,3
160,1
161,1
162,1
163,3
164,1
165,0
166,1
167,2
168,1
169,0
170,5
171,2
172,3
173,5
174,4
175,0
176,0
177,2
178,0
179,1
180,1
181,4
182,2
183,1
184,1
185,1
186,0
187,0
188,4
189,2
190,1
191,4
192,0
193,1
194,3
195,1
196,5
197,1
198,1
199,0
200,0
201,2
202,0
203,4
204,1
205,3
206,1
207,1
208,4
209,2
210,0
211,2
212,3
213,1
214,1
215,0
216,4
217,0
218,1
219,2
220,3
221,1
222,2
223,1
224,0
225,0
226,3
227,0
228,3
229,1
230,1
231,1
232,1
233,2
234,3
235,1
236,2
237,1
238,1
239,5
240,2
241,2
242,0
243,3
244,2
245,0
246,2
247,2
248,1
249,1
250,2
251,0
252,2
253,0
254,2
255,3
256,3
257,1
258,2
259,2
260,1
261,0
262,0
263,2
264,1
265,2
266,2
267,1
268,3
269,2
270,2
271,1
272,2
273,1
274,0
275,1
276,1
277,2
278,1
279,2
280,1
281,4
282,2
283,2
284,0
285,2
286,1
287,3
288,2
289,1
290,0
291,4
292,1
293,1
294,0
295,2
296,2
297,2
298,1
299,0
300,2
301,0
302,3
303,3
304,2
305,3
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,6
316,3
317,0
318,0
319,1
320,2
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,1
330,0
331,1
332,1
333,0
334,0
335,0
336,1
337,0
338,0
339,0
340,1
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,5
351,2
352,2
353,0
354,0
355,3
356,0
357,0
358,0
359,2
360,0
361,0
362,0
363,0
364,0
365,0
