time-step,new-children-bites,new-adults-bites,new-seniors-bites,new-tourists-children-bites,new-tourists-adults-bites,new-tourists-seniors-bites
0,0,0,0,0,0,0
1,2,3,1,1,14,5
2,1,1,2,5,19,8
3,0,0,2,2,12,9
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,3,6,3,4,16,12
22,0,0,0,0,0,0
23,2,2,0,2,6,1
24,0,0,0,0,0,0
25,1,1,0,2,9,3
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,1,0,1,2,4,5
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,3,0,4,15,3
34,1,3,3,4,12,2
35,1,3,0,2,11,3
36,0,1,1,4,9,1
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,4,2,15,3
40,2,1,1,1,5,3
41,1,4,2,0,6,7
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,0,1,1,2,4,4
45,1,5,1,6,11,5
46,1,0,0,2,8,3
47,1,2,1,1,7,2
48,2,7,1,3,12,1
49,1,5,1,2,12,4
50,2,2,1,2,9,3
51,1,2,0,4,14,6
52,2,1,3,4,7,1
53,0,0,0,0,0,0
54,0,0,0,0,0,0
55,0,0,0,0,0,0
56,0,0,0,0,0,0
57,0,0,0,0,0,0
58,0,0,0,0,0,0
59,3,3,1,4,15,7
60,0,1,3,2,7,2
61,2,0,0,4,5,1
62,3,3,1,1,8,3
63,3,2,1,4,8,3
64,0,0,0,0,0,0
65,0,0,0,0,0,0
66,0,0,0,0,0,0
67,0,0,0,0,0,0
68,0,0,1,4,8,3
69,0,1,0,3,10,5
70,1,4,2,1,14,6
71,2,0,3,1,9,2
72,1,2,0,3,6,2
73,2,0,1,5,11,3
74,2,2,0,1,7,4
75,2,3,0,1,13,1
76,1,2,1,1,7,3
77,1,7,1,2,4,9
78,0,0,0,4,7,2
79,1,1,1,4,10,1
80,1,1,2,3,4,2
81,1,1,0,2,13,1
82,0,0,0,0,0,0
83,0,0,0,0,0,0
84,0,0,0,0,0,0
85,1,6,3,1,8,2
86,1,1,0,2,8,2
87,1,2,0,5,11,2
88,0,3,2,2,6,0
89,2,1,3,6,16,2
90,0,3,4,1,4,6
91,3,2,1,5,7,4
92,2,3,0,3,15,4
93,0,0,1,5,17,2
94,0,2,0,7,10,5
95,2,1,3,4,7,4
96,2,2,0,3,7,2
97,3,3,2,4,6,3
98,1,2,1,3,9,4
99,0,5,0,4,6,3
100,0,1,1,2,5,6
101,1,1,1,2,6,2
102,3,3,1,4,6,2
103,2,0,1,1,9,2
104,0,3,4,2,5,1
105,0,3,3,4,13,4
106,2,0,2,5,14,2
107,0,0,0,0,0,0
108,0,0,0,0,0,0
109,2,0,1,10,18,4
110,0,0,0,0,0,0
111,0,0,0,0,0,0
112,0,0,0,0,0,0
113,0,0,0,0,0,0
114,0,0,0,0,0,0
115,0,0,0,0,0,0
116,1,3,2,6,13,8
117,1,3,0,2,7,2
118,1,1,0,4,7,6
119,0,2,0,5,12,2
120,1,1,0,1,6,3
121,0,3,1,0,5,4
122,3,2,0,9,26,8
123,3,3,4,9,15,1
124,2,1,2,1,16,6
125,1,5,0,3,14,2
126,0,3,0,0,8,3
127,0,4,1,1,11,3
128,1,2,1,3,5,3
129,0,0,1,1,12,2
130,2,1,3,3,12,1
131,0,1,0,1,6,2
132,3,1,0,3,5,1
133,0,5,0,2,12,1
134,0,0,1,4,7,10
135,1,1,2,0,9,1
136,0,0,0,3,10,3
137,2,0,1,6,16,11
138,0,3,0,2,11,1
139,2,4,0,4,17,4
140,1,1,0,5,5,3
141,2,3,3,2,13,4
142,2,4,0,6,20,12
143,0,3,1,2,12,4
144,3,1,0,5,8,2
145,0,1,2,7,14,4
146,1,3,0,2,5,3
147,3,9,0,7,15,3
148,1,1,0,2,18,12
149,1,1,1,8,16,3
150,0,3,0,2,11,3
151,1,2,0,0,10,4
152,1,1,1,2,5,2
153,1,6,4,3,9,1
154,1,0,1,4,8,2
155,1,5,2,1,10,2
156,0,4,1,4,15,5
157,2,2,2,1,8,3
158,0,4,2,3,10,5
159,2,1,1,4,6,2
160,0,1,4,3,9,2
161,0,5,0,5,18,4
162,1,0,1,4,8,3
163,2,1,2,4,10,3
164,3,0,1,3,5,2
165,0,1,0,1,11,2
166,1,2,3,5,11,7
167,3,4,1,3,14,5
168,3,6,2,5,21,6
169,1,3,3,4,12,5
170,1,1,2,3,11,2
171,1,5,3,9,19,4
172,1,0,1,2,7,2
173,0,3,0,4,9,3
174,0,3,0,2,7,4
175,1,2,0,4,6,4
176,2,2,1,4,12,3
177,0,2,0,2,11,2
178,0,0,4,0,6,4
179,2,1,1,0,7,3
180,2,1,1,0,8,3
181,5,3,1,3,21,8
182,5,5,2,10,16,3
183,2,2,4,2,11,2
184,3,0,1,5,14,5
185,1,2,0,6,5,3
186,1,2,2,0,8,8
187,3,1,1,3,9,3
188,0,3,1,1,6,2
189,0,3,1,4,8,3
190,2,2,1,6,18,3
191,2,4,2,5,13,6
192,3,4,1,4,7,4
193,1,0,1,4,16,5
194,1,1,0,2,9,1
195,5,0,1,4,10,2
196,1,5,0,3,13,4
197,3,4,1,4,19,5
198,2,3,1,1,13,4
199,1,1,0,4,10,3
200,1,4,0,5,8,3
201,2,1,0,3,13,5
202,2,2,0,6,20,5
203,1,4,1,2,9,3
204,5,1,3,7,20,5
205,1,3,0,2,9,3
206,2,3,1,4,12,5
207,3,5,0,1,13,1
208,5,7,1,4,6,3
209,0,2,3,6,11,3
210,0,7,1,1,4,3
211,1,3,0,6,2,2
212,0,1,1,5,11,5
213,1,2,1,4,11,7
