time-step,total-children-bites,total-adults-bites,total-seniors-bites,total-tourists-children-bites,total-tourists-adults-bites,total-tourists-seniors-bites
0,0,0,0,0,0,0
1,3,0,2,1,10,0
2,3,1,2,5,28,7
3,5,1,2,8,46,12
4,5,1,2,8,46,12
5,5,1,2,8,46,12
6,5,1,2,8,46,12
7,5,1,2,8,46,12
8,5,1,2,8,46,12
9,5,1,2,8,46,12
10,5,1,2,8,46,12
11,5,1,2,8,46,12
12,5,1,2,8,46,12
13,5,1,2,8,46,12
14,5,1,2,8,46,12
15,5,1,2,8,46,12
16,5,1,2,8,46,12
17,5,1,2,8,46,12
18,5,1,2,8,46,12
19,5,1,2,8,46,12
20,5,1,2,8,46,12
21,6,7,3,13,55,16
22,6,7,3,13,55,16
23,8,8,3,19,63,20
24,8,8,3,19,63,20
25,8,8,5,19,76,23
26,8,8,5,19,76,23
27,8,8,5,19,76,23
28,8,8,5,19,76,23
29,10,8,6,21,82,23
30,10,8,6,21,82,23
31,10,8,6,21,82,23
32,10,8,6,21,82,23
33,11,9,6,24,93,26
34,14,13,8,33,109,31
35,16,18,9,37,119,33
36,16,19,9,40,125,39
37,16,19,9,40,125,39
38,16,19,9,40,125,39
39,17,23,13,43,135,42
40,19,28,14,45,141,42
41,21,30,15,48,148,44
42,21,30,15,48,148,44
43,21,30,15,48,148,44
44,21,31,17,52,159,47
45,21,32,19,60,174,49
46,22,33,21,64,182,54
47,23,34,22,66,196,55
48,23,42,25,73,210,60
49,23,45,27,74,219,64
50,23,48,28,80,224,67
51,23,50,30,90,237,70
52,23,50,30,96,240,71
53,23,50,30,96,240,71
54,23,50,30,96,240,71
55,23,50,30,96,240,71
56,23,50,30,96,240,71
57,23,50,30,96,240,71
58,23,50,30,96,240,71
59,24,52,32,106,251,81
60,25,56,34,110,261,82
61,26,58,34,115,273,82
62,27,60,34,117,281,82
63,27,63,36,118,289,83
64,27,63,36,118,289,83
65,27,63,36,118,289,83
66,27,63,36,118,289,83
67,27,63,36,118,289,83
68,27,64,37,120,303,88
69,28,68,37,121,313,93
70,30,73,38,125,333,95
71,31,75,39,130,343,96
72,32,79,39,131,351,98
73,33,81,40,133,357,103
74,34,84,43,136,360,105
75,34,86,45,137,366,107
76,34,92,45,140,372,108
77,37,95,46,145,385,111
78,38,97,47,149,386,113
79,39,100,49,151,396,117
80,39,102,49,152,405,123
81,41,103,50,152,415,126
82,41,103,50,152,415,126
83,41,103,50,152,415,126
84,41,103,50,152,415,126
85,41,107,51,158,418,131
86,41,108,51,162,430,135
87,43,110,51,165,435,139
88,43,113,52,166,441,142
89,45,115,55,171,454,152
90,46,116,56,175,460,152
91,46,120,57,176,471,154
92,46,120,59,179,477,157
93,46,122,63,185,495,162
94,47,122,63,187,508,166
95,47,123,65,191,515,169
96,47,126,66,193,527,171
97,48,130,67,195,533,173
98,50,131,68,198,541,178
99,53,133,68,200,553,181
100,54,134,69,203,559,182
101,55,135,69,205,567,184
102,55,137,69,206,573,186
103,57,139,70,209,577,189
104,59,146,70,217,582,193
105,59,151,70,223,590,199
106,60,152,70,231,604,201
107,60,152,70,231,604,201
108,60,152,70,231,604,201
109,62,153,72,240,616,204
110,62,153,72,240,616,204
111,62,153,72,240,616,204
112,62,153,72,240,616,204
113,62,153,72,240,616,204
114,62,153,72,240,616,204
115,62,153,72,240,616,204
116,66,155,74,243,626,209
117,67,155,74,247,633,213
118,69,160,74,248,642,214
119,70,164,74,251,653,218
120,71,166,75,255,667,222
121,71,166,77,258,674,229
122,71,170,79,266,689,235
123,72,172,81,270,700,244
124,73,175,82,278,708,254
125,73,176,83,283,710,256
126,74,178,84,285,718,260
127,75,181,85,291,728,263
128,76,185,85,291,735,265
129,77,187,86,295,743,267
130,78,189,88,301,748,268
131,78,190,88,307,760,269
132,79,191,89,309,770,271
133,80,192,89,312,778,273
134,82,194,90,314,787,274
135,82,195,91,318,794,275
136,82,196,93,321,804,277
137,83,198,95,327,820,278
138,84,198,98,330,826,280
139,86,202,100,340,840,290
140,89,208,102,343,850,292
141,91,210,102,349,864,298
142,92,211,102,358,880,304
143,94,212,103,361,891,307
144,95,214,105,371,901,313
145,95,217,106,377,913,318
146,95,222,107,379,926,321
147,96,229,107,385,945,325
148,98,232,111,392,959,327
149,98,232,114,399,975,328
150,99,233,115,400,985,332
151,101,233,116,403,993,333
152,102,235,118,406,1006,335
153,104,238,120,412,1012,340
154,105,242,121,414,1022,344
155,105,246,122,415,1033,346
156,106,247,122,417,1044,349
157,106,250,124,420,1060,351
158,106,253,124,420,1065,354
159,107,258,125,424,1077,356
160,107,258,128,432,1086,362
161,108,264,129,436,1100,365
162,108,264,130,440,1106,369
163,108,268,131,440,1115,372
164,109,269,131,443,1124,375
165,111,271,132,445,1141,379
166,112,272,133,452,1155,383
167,113,275,135,454,1158,385
168,113,281,136,458,1179,391
169,114,284,137,459,1196,398
170,114,284,137,464,1205,399
171,116,285,140,468,1215,405
172,116,287,142,469,1222,409
173,116,288,145,471,1228,413
174,117,291,146,475,1239,416
175,117,296,146,475,1248,419
176,118,302,149,477,1260,423
177,118,305,150,477,1269,425
178,119,307,151,480,1282,430
179,119,307,152,482,1293,431
180,119,309,153,484,1301,434
181,120,316,156,487,1312,443
182,121,322,157,491,1329,450
183,122,325,158,492,1337,451
184,122,326,159,498,1355,455
185,124,328,160,501,1366,457
186,124,330,161,504,1375,460
187,124,333,163,504,1385,461
188,124,336,165,507,1400,464
189,125,342,166,508,1413,467
190,125,343,171,518,1434,475
191,127,343,171,521,1453,481
192,129,346,172,526,1460,484
193,130,349,173,531,1475,495
